,Unique_ID,Name,Type
171,25281,EARTH SCIENCE %3E OCEANS %3E OCEAN OPTICS %3E FLUORESCEN,Tag
172,25282,Water Quality,Tag
173,25283,FIELD INVESTIGATION,Tag
174,25284,Economic Resources,Tag
175,25285,Stranger Interactions,Tag
176,25286,NISKIN BOTTLES,Tag
177,25287,Marine Plants,Tag
178,25288,SATELLITES,Tag
179,25289,35 013019,Tag
180,25290,Queensland,Tag
181,25291,Population Dynamics,Tag
182,25292,phytoplankton,Tag
183,25293,EARTH SCIENCE %3E OCEANS %3E OCEAN TEMPERATURE %3E SEA S,Tag
184,25294,phytoplankton count,Tag
185,25295,EARTH SCIENCE %3E OCEANS %3E SALINITY%2FDENSITY %3E SALINI,Tag
186,25296,O13,Tag
187,25297,Zoology,Tag
188,25298,Oxygen,Tag
189,25299,GIS,Tag
190,25300,EARTH SCIENCE %3E BIOSPHERE %3E AQUATIC ECOSYSTEMS %3E P,Tag
191,25301,Bryozoa,Tag
192,25302,Hydrosphere,Tag
193,25303,Niskin Bottles,Tag
194,25304,EARTH SCIENCE %3E OCEANS %3E OCEAN TEMPERATURE %3E WATER,Tag
195,25305,Ocean acidification,Tag
196,25306,METEOROLOGY,Tag
197,25307,Renewable Resources and Conservation,Tag
198,25308,OCEAN %3E SOUTHERN OCEAN %3E HEARD AND MCDONALD ISLAND,Tag
199,25309,EARTH SCIENCE %3E OCEANS %3E TIDES %3E TIDAL RANGE,Tag
200,25310,CEOS,Tag
201,25311,Marine Debris,Tag
202,25312,PH100,Tag
203,25313,Intertidal Zone,Tag
204,25314,Sea Surface Height,Tag
205,25315,OCEAN %3E SOUTHERN OCEAN,Tag
206,25316,Sea Surface Temperature,Tag
207,25317,Sediment Grain Size,Tag
208,25318,Water Depth,Tag
209,25319,DIATOMS,Tag
210,25320,EARTH SCIENCE %3E BIOSPHERE %3E AQUATIC ECOSYSTEMS %3E B,Tag
211,25321,MARINE BIRDS,Tag
212,25322,Dive,Tag
213,25323,EARTH SCIENCE %3E OCEANS %3E OCEAN CHEMISTRY %3E CARBON,Tag
214,25324,black teatfish,Tag
215,25325,EARTH SCIENCE %3E CRYOSPHERE %3E SEA ICE %3E ICE TYPES,Tag
216,25326,Rivers%2Fstreams,Tag
217,25327,Salinity,Tag
218,25328,SHIPS,Tag
219,25329,EARTH SCIENCE %3E OCEANS %3E OCEAN CIRCULATION %3E OCEAN,Tag
220,25330,Size%2C Growth,Tag
221,25331,EARTH SCIENCE %3E BIOSPHERE %3E TERRESTRIAL ECOSYSTEMS,Tag
222,25332,EARTH SCIENCE %3E OCEANS %3E SEA ICE,Tag
223,25333,Shorelines,Tag
224,25334,FIELD SURVEYS,Tag
225,25335,Environmental Impacts,Tag
226,25336,Tenure,Tag
227,25337,MOORINGS,Tag
228,25338,Mornington Peninsula%2C Victoria,Tag
229,25339,35 032041,Tag
230,25340,South Australia,Tag
231,25341,San Remo,Tag
232,25342,sedimentology,Tag
233,25343,Q22,Tag
234,25344,Paleoclimate,Tag
235,25345,GROUND-BASED OBSERVATIONS,Tag
236,25346,EARTH SCIENCE %3E OCEANS %3E OCEAN CHEMISTRY %3E CHLOROP,Tag
237,25347,Cnidaria,Tag
238,25348,Pacific Ocean,Tag
239,25349,aquatic toxicology,Tag
240,25350,Stochastic control,Tag
241,25351,OCEAN %3E SOUTHERN OCEAN %3E Heard Island,Tag
242,25352,CFC-11,Tag
243,25353,HYDROPHONES,Tag
244,25354,Marine Birds,Tag
245,25355,OCEANOGRAPHY,Tag
246,25356,WORLD OCEAN,Tag
247,25357,EARTH SCIENCE %3E OCEANS %3E SEA ICE %3E ICE DEPTH%2FTHICK,Tag
248,25358,EARTH SCIENCE %3E BIOLOGICAL CLASSIFICATION %3E PLANTS,Tag
249,25359,EARTH SCIENCE %3E BIOSPHERE %3E AQUATIC ECOSYSTEMS %3E M,Tag
250,25360,EARTH SCIENCE %3E BIOLOGICAL CLASSIFICATION %3E ANIMAL,Tag
251,25361,COML %3E CENSUS OF MARINE LIFE,Tag
252,25362,EARTH SCIENCE %3E CRYOSPHERE %3E SEA ICE %3E PACK ICE,Tag
253,25363,Saline Lakes,Tag
254,25364,Salinity%2Fdensity,Tag
255,25365,Spectrometers,Tag
256,25366,EARTH SCIENCE %3E OCEANS %3E SEA ICE %3E SEA ICE CONCENT,Tag
257,25367,Forminifera,Tag
258,25368,Flowering Plants,Tag
259,25369,Visible Imagery,Tag
260,25370,Erosion%2Fsedimentation,Tag
261,25371,Uca capricornis,Tag
262,25372,SOUTHERN OCEAN,Tag
263,25373,bathymetry,Tag
264,25374,35 033006,Tag
265,25375,Tasmania,Tag
266,25376,Siphonaria diemenensis,Tag
267,25377,Radiolaria,Tag
268,25378,RAISED BEACH,Tag
269,25379,EARTH SCIENCE %3E OCEANS %3E OCEAN CHEMISTRY %3E PIGMENT,Tag
270,25380,Colonial ascidian,Tag
271,25381,Predation,Tag
272,25382,Phytoplankton,Tag
273,25383,bioindicators,Tag
274,25384,PENGUINS,Tag
275,25385,HEARD ISLAND,Tag
276,25386,CFC-11_FLAG_W,Tag
277,25387,Surface Winds,Tag
278,25388,Human Dimensions,Tag
279,25389,LEPTONYCHOTES WEDDELLII,Tag
280,25390,Morus serrator,Tag
281,25391,EARTH SCIENCE %3E OCEANS %3E SEA ICE %3E ICE FLOES,Tag
282,25392,EARTH SCIENCE %3E BIOLOGICAL CLASSIFICATION %3E PROTIS,Tag
283,25393,Ph,Tag
284,25394,CONTINENT %3E ANTARCTICA,Tag
285,25395,Population density survey,Tag
286,25396,OCEAN %3E SOUTHERN OCEAN %3E MACQUARIE ISLAND,Tag
287,25397,Surface Water,Tag
288,25398,Temperature,Tag
289,25399,Harpacticoida,Tag
290,25400,Water Pressure,Tag
291,25401,Heterozostera tasmanica,Tag
292,25402,Visible Wavelengths,Tag
293,25403,NUMBER,Tag
294,25404,Estuaries,Tag
295,25405,TIDE GAUGE,Tag
